"","stringency_index","cases_pm","vaxxed_ph","deaths_pm","date","iso_code","continent","country","positive_rate","population","accept","death_group","cases_group"
"1",60.19,210.536,NA,4.077,2020-12-21,"ALB","Europe","Albania",0.2514,2872934,0.596177258231421,"high","high"
"2",56.48,156.485,NA,3.282,2020-12-28,"ALB","Europe","Albania",0.2159,2872934,0.603211442973523,"high","high"
"3",56.48,151.712,NA,1.74,2021-01-04,"ALB","Europe","Albania",0.215,2872934,0.612084751714678,"average","high"
"4",60.19,216.205,NA,2.387,2021-01-11,"ALB","Europe","Albania",0.1812,2872934,0.660815628851541,"high","high"
"5",60.19,199.448,0.02,1.691,2021-01-18,"ALB","Europe","Albania",0.181,2872934,0.594715601649059,"average","high"
"6",60.19,240.173,NA,2.138,2021-01-25,"ALB","Europe","Albania",0.228,2872934,0.641278194756554,"high","high"
"7",60.19,307.302,NA,3.431,2021-02-01,"ALB","Europe","Albania",0.2498,2872934,0.634886045944413,"high","high"
"8",60.19,362.845,NA,3.928,2021-02-08,"ALB","Europe","Albania",0.3044,2872934,0.632407375394322,"high","high"
"9",60.19,375.972,NA,4.724,2021-02-15,"ALB","Europe","Albania",0.2851,2872934,0.681316594774464,"high","high"
"10",60.19,369.707,0.21,5.669,2021-02-22,"ALB","Europe","Albania",0.2992,2872934,0.702381728688308,"high","high"
"11",60.19,330.474,NA,6.713,2021-03-01,"ALB","Europe","Albania",0.2581,2872934,0.668387751130145,"high","high"
"12",60.19,280.898,NA,6.962,2021-03-08,"ALB","Europe","Albania",0.2528,2872934,0.689894475950527,"high","high"
"13",60.19,220.631,NA,5.171,2021-03-15,"ALB","Europe","Albania",0.1996,2872934,0.664716559547572,"high","high"
"14",60.19,175.381,NA,4.227,2021-03-22,"ALB","Europe","Albania",0.1703,2872934,0.656291090771558,"high","high"
"15",60.19,142.96,NA,3.53,2021-03-29,"ALB","Europe","Albania",0.1562,2872934,0.663528902823709,"high","high"
"16",60.19,118.147,NA,2.884,2021-04-05,"ALB","Europe","Albania",0.121,2872934,0.701606818500539,"high","average"
"17",54.63,85.676,NA,2.337,2021-04-12,"ALB","Europe","Albania",0.0913,2872934,0.659154776508972,"high","average"
"18",54.63,58.477,NA,1.293,2021-04-19,"ALB","Europe","Albania",0.0655,2872934,0.644490882666667,"average","average"
"19",54.63,45.349,NA,1.591,2021-04-26,"ALB","Europe","Albania",0.0495,2872934,0.653036776720351,"average","average"
"20",63.89,33.316,NA,0.995,2021-05-03,"ALB","Europe","Albania",0.0413,2872934,0.632506844135802,"average","average"
"21",60.19,23.719,NA,0.845,2021-05-10,"ALB","Europe","Albania",0.0261,2872934,0.624843395531164,"average","low"
"22",60.19,13.873,15.91,0.945,2021-05-17,"ALB","Europe","Albania",0.0146,2872934,0.687274151781707,"average","low"
"23",46.3,9.1,16.54,0.497,2021-05-24,"ALB","Europe","Albania",0.0088,2872934,0.657558211157456,"average","low"
"24",46.3,4.973,16.92,0.298,2021-05-31,"ALB","Europe","Albania",0.0051,2872934,0.671885788169869,"low","low"
"25",37.96,3.431,17.17,0.05,2021-06-07,"ALB","Europe","Albania",0.0034,2872934,0.660315055268595,"low","low"
"26",37.96,3.829,17.67,0.05,2021-06-14,"ALB","Europe","Albania",NA,2872934,0.611735420735383,"low","low"
"27",37.96,1.442,18.09,0.05,2021-06-21,"ALB","Europe","Albania",NA,2872934,0.575919784380306,"low","low"
"28",37.96,1.144,19.05,0.099,2021-06-28,"ALB","Europe","Albania",NA,2872934,0.522176814993122,"low","low"
"29",37.96,1.193,19.99,0,2021-07-05,"ALB","Europe","Albania",NA,2872934,0.563329629744866,"low","low"
"30",37.96,2.984,20.55,0,2021-07-12,"ALB","Europe","Albania",NA,2872934,0.523550033694344,"low","low"
"31",37.96,4.973,NA,0,2021-07-19,"ALB","Europe","Albania",NA,2872934,0.491724267825045,"low","low"
"32",37.96,9.647,NA,0,2021-07-26,"ALB","Europe","Albania",NA,2872934,0.498451164899882,"low","low"
"33",37.96,12.68,23.6,0.05,2021-08-02,"ALB","Europe","Albania",NA,2872934,0.468209421267894,"low","low"
"34",37.96,41.521,NA,0.149,2021-08-09,"ALB","Europe","Albania",NA,2872934,0.559504017265193,"low","average"
"35",37.96,107.705,26.38,0.298,2021-08-16,"ALB","Europe","Albania",NA,2872934,0.507109913347309,"low","average"
"36",38.89,177.718,27.59,0.597,2021-08-23,"ALB","Europe","Albania",NA,2872934,0.493934226388889,"average","high"
